phrase;topics1;topics2;topics3;topics4;topics5;;
Активировать детскую карту;Активация ( General_Activation);Активация ( Local_Activate);;;;;
Установить пин код на детскую карту;Вместо консультации на оператора;;;;;;
Карту перевыпустить размагнитилась;Карта не работает ( General_Cardnotworking);;;;;;
Снять деньги в офисе, кассе, у операциониста;Заказ денег УКД ( General_ZAKAZ_DENGI_UKD);Заказ денег УКД ( Local_Zakaz_Dengi_UKD);;;;;
Отказ от рекламных звонков ;Реклама ( Local_Advertising);;;;;;
Не знаю номер карты/счета для входа в приложение;Временный пароль ( Local_Temp_Password);;;;;;
Мне звонили, оформили кредит (действие совершено);General Мошенничество_UNI ( General_Fraud_UNI);;;;;;
Не знаю сумму кредита;Условия ( Local_Conditions);Кредит наличными (Про платеж) ( Local_DIS_Credit);;;;;
Партнерская программа;Вместо консультации на оператора;;;;;;
Курьер не отдает карту ;Курьерская доставка ( General_Express_Delivery);Курьерская доставка (CourierDelivery);;;;;
Сотрудник / менеджер не отдает карту ;Вместо консультации на оператора;;;;;;
Заказать стикер к карте кредитной или кредитный стикер;Вместо консультации на оператора;;;;;;
Заказать  стикер, Заказать стикер;Платежные Стикеры ( General_Payment_Stickers);;;;;;
Заказал стикер ;УВ Карта (UV_Card);Карта ( Local_Card);;;;;
Мне перевели на заблокированный счет/карту;Вместо консультации на оператора;;;;;;
перевела на заблокированный счет/карту;Отменить перевод ( Local_Cancel_Transfer_Payment);;;;;;
Электронная подпись;Вместо консультации на оператора;;;;;;
 тревел;Без вопроса ( General_Whithout_Question);;;;;;
"Хочу связь с оператором уточнить информацию по поводу того что пополнила кредитную карту деньги получается / 
Хотела бы узнать поступил ли у меня платеж на кредитную карту последние семьсот рублей";Кредитная картаКредитка ( Local_Credit_Card);;;;;;
Статус платежа;Выписка ( General_BankStatement);Движение денежных средств ( Local_Transactions);;;;;
Внесение платежа;УВ Платеж (UV_Payment);;;;;;
Не  могу получить выписку ;Выписка ( General_BankStatement);Движение денежных средств ( Local_Transactions);;;;;
Не могу получить квитанцию ;Квитанция ( General_Cheque);;;;;;
Не могу получить справку ;Справка ( General_Reference);Справка ( Local_Reference);;;;;
Не могу обновить данные паспорта ;Замена паспорта ( General_PassportChange);;;;;;
Не могу активировать карту  ;Активация ( General_Activation);Активация ( Local_Activate);;;;;
Не могу заказать карту ;Вместо консультации на оператора;;;;;;
Не могу поменять номер в банке ;Смена номера телефона ( General_Change_phone);Привязать номер ( Local_Bind_Number);;;;;
Актуализировать номер телефона;Смена номера телефона ( General_Change_phone);Привязать номер ( Local_Bind_Number);;;;;
Снятие с карты в банкомате стороннего банка;УВ Снятие наличных (UV_CashWithdrawal);Снятие наличных ( Local_Cash_Withdrawal);;;;;
Мне нужнА карта ;УВ Получение карты (UV_TakeCard);;;;;;
Мне нужнО карту;УВ Карта (UV_Card);Карта ( Local_Card);;;;;
Не получиЛ карту / Не получилИ карту;General Готовность карт ( General_TAKE_CARD) ;Готовность карт (CardReadiness);;;;;
Проблема с получением карты / Не могу получить карту;Вместо консультации на оператора;;;;;;
Как мне заказать карту через ссылку по пригласи друга;Условия ( Local_Conditions);;;;;;
Делали заявку на карту;УВ Карта (UV_Card);Карта ( Local_Card);;;;;
Нужно кредит / Не нужен кредит / Не нужнО кредит / Мне не надо кредит / Хочу кредит / Нужен кредит;УВ Кредит (UV_Credit);Кредит ( Local_Credit);Другой кредит ( Local_Other_Credit);Кредит наличными (Про платеж) ( Local_DIS_Credit);;;
Сервис заправки / Заправки / Не прошла оплата на заправке;Вместо консультации на оператора;;;;;;
Кэшбэк заправка;Кэшбэк ( Local_Cashback);;;;;;
 Афиша / купить билет в кино / купить билет в театр;Вместо консультации на оператора;;;;;;
Сервис  Тревел / купить авиабилет / купить жд билет / оплатить отель;Вместо консультации на оператора;;;;;;
Мне не могут перевести из другого банка / мне не могут перевести;Проблема с переводом ( Local_Cant_Transfer);;;;;;
Активация;Активация ( Local_Activate);;;;;;
Вопросы по  форексу;Вместо консультации на оператора;;;;;;
Вопросы по  капиталу;Вместо консультации на оператора;;;;;;
Покупка драгоценных металлов в слитках;Вместо консультации на оператора;;;;;;
Хочу перевести на счету доверительного управления на свой текущий счет;Вместо консультации на оператора;;;;;;
Хочу снять деньги с инвест копилки;General Инвестиции ( General_Investing);;;;;;
Почему не нужно оплатить ежемесячный платёж ;Вместо консультации на оператора;;;;;;
Хочу заблокировать (без уточнения чего-либо);Потерял карту ( Local_Lost_Card);;;;;;
Уменьшить лимит ;УВ Лимит (UV_Limit);Лимиты ( Local_Limits);;;;;
Если клиент называет номер телефона и спрашивает, к нему ли привязана карта;Запрос кодового слова ( General_Codeword_request);;;;;;
Ставка по кредиту;Условия ( Local_Conditions);;;;;;
Я хочу лимит повысить;УВ Лимит (UV_Limit);Лимиты ( Local_Limits);;;;;
Найти старый счет;Вместо консультации на оператора;;;;;;
Наличие чипов детской карте;Вместо консультации на оператора;;;;;;
По поводу кредитной карты снять собственные средства остатки;Вместо консультации на оператора;;;;;;
Поменяли номер которого у меня нет;Смена номера телефона ( General_Change_phone);Привязать номер ( Local_Bind_Number);;;;;
Связаться с оператором узнать что за счет мне открыли;Вместо консультации на оператора;;;;;;
Снятие наличных с белорусской карты мир;Вместо консультации на оператора;;;;;;
Можно ли выбрать офис куда доставить карту;Вместо консультации на оператора;;;;;;
Заказывала кредитную карту пришел отказ банка;Вместо консультации на оператора;;;;;;
Мне нужно открыть личный кабинет но у меня нет карты у меня нет счета;Временный пароль ( Local_Temp_Password);;;;;;
Не могу войти в приложение так как номер сменился заблокирован;Смена номера телефона ( General_Change_phone);Привязать номер ( Local_Bind_Number);;;;;
Подвердить платеж, по движению средств, по истории;Выписка ( General_BankStatement);Движение денежных средств ( Local_Transactions);;;;;
По списанию;УВ_ Странные операции (UV_ Strange_operation);;;;;;
Оформил кредит деньги не поступили соедините со специалистом ;Когда поступят деньги ( LocalGet_Money);;;;;;
Не могу снять деньги с кк;Вместо консультации на оператора;;;;;;
Не могу перевести с кк;Проблема с переводом ( Local_Cant_Transfer);;;;;;
Сколько карт можно иметь на одного человека;Вместо консультации на оператора;;;;;;
Трудности с платежом кредита;Способы погашения_пополнения ( General_Repay_credit);О способах пополнения ( Local_Repay_Credit);;;;;
По списанию процентов (без уточнения продукта);УВ_ Странные операции (UV_ Strange_operation);;;;;;
случайно перевела не в тот банк;Отменить перевод ( Local_Cancel_Transfer_Payment);;;;;;
получить одноразовый код доступа;Временный пароль ( Local_Temp_Password);;;;;;
подобрать адрес доставки карты;Курьерская доставка ( General_Express_Delivery);Курьерская доставка (CourierDelivery);;;;;
"Такие фразы как ""блин""";Без вопроса ( General_Whithout_Question);если с матами,тогда на Невозможно;;;;;
Ограничение/приостановление по счетам , по карте;Вместо консультации на оператора;;;;;;
Положить деньги;General Способы погашения_пополнения ( General_Repay_credit);О способах пополнения ( Local_Repay_Credit);;;;;
Хочет заказать карту и уточняет что ему нет 18 лет, но не говорит какую именно карту;УВ Заказ новой карты (UV_OrderCard);Новый продукт ( Local_Open);;;;;
Восстановить доступ к приложению/восстановить вход в приложение;General Разблокировать приложение ( General_Unlock_App);Нет доступа ( Local_No_Access);;;;;
Восстановить приложение;скачать/обновить ( Local_Download);;;;;;
Премиальный клиент я или нет;General Трансфер ( General_Transfer);;;;;;
Не открывается ссылка которую вы направили;Вместо консультации на оператора;;;;;;
Не открывается ссылка (без всякого уточнения);Без вопроса ( General_Whithout_Question);;;;;;
Позвонить, дозвониться;General Приветствие ( General_Hello);;;;;;
Где деньги / где мои деньги;Не зачислил деньги на карту ( Local_Didnt_Money_On_Card);Не дошел (платеж) ( Local_Not_Received);Когда поступят деньги ( LocalGet_Money);Статус ( Local_Status);;;
Связаться по добавочному номеру/ ввести добавочный номер/ добавочный номер;Вместо консультации на оператора;;;;;;
Не нужна мне комиссия мне нужны наличные деньги у меня Оформлен кредит в вашем банке пятьсот три/здравствуйте я вот Сегодня заказала кредит наличными мне одобрили мне нужно Снять наличные как это сделать;УВ Снятие наличных (UV_CashWithdrawal);Снятие наличных ( Local_Cash_Withdrawal);;;;;
Не зайти в приложение банка после обновления данных;General Разблокировать приложение ( General_Unlock_App);Нет доступа ( Local_No_Access);;;;;
Начислили проценты почему;Вместо консультации на оператора;;;;;;
Ускорить процесс получения кредита;Вместо консультации на оператора;;;;;;
 карта одноразовый код;Без вопроса ( General_Whithout_Question);;;;;;
Лизинг;Вместо консультации на оператора;;;;;;
Представитель;Курьерская доставка ( General_Express_Delivery);Курьерская доставка (CourierDelivery);;;;;
Получить доступ в приложение/доступ к личному кабинету;Нет доступа ( Local_No_Access);;;;;;
Мой вопрос по акции рекомендуется инвестиции;Акция ( Local_Action);;;;;;
обслуживание;Условия ( Local_Conditions);;;;;;
доступ в личный кабинет ребенка;Нет доступа ( Local_No_Access);;;;;;
заблокирован личный кабинет поэтому я хочу получить ответ на свое обращение;General Разблокировать приложение ( General_Unlock_App);Нет доступа ( Local_No_Access);;;;;
доступ к карте;УВ Карта (UV_Card);Карта ( Local_Card);;;;;
Доступ к счету;УВ Счет (UV_Account);;;;;;
списывают деньги с другого счета\ пытаетесь долги списали с другого счета;УВ_ Странные операции (UV_ Strange_operation);;;;;;
Cменить контактный номер на карте ребенка;Вместо консультации на оператора;;;;;;
как оплатить а деньги ;General Способы погашения_пополнения ( General_Repay_credit);О способах пополнения ( Local_Repay_Credit);;;;;
отменить комиссию/вернуть комиссию;Комиссия ( Local_Commission);;;;;;
кредитование;Без вопроса ( General_Whithout_Question);;;;;;
 перезвоните мне/заказать обратный звонок/пусть он мне перезвонит;Без вопроса ( General_Whithout_Question);;;;;;
Меня просили перезвонить;Вместо консультации на оператора;;;;;;
Кредитная и дебетовая карта;по обеим, обе ( Local_Both);;;;;;
Мошенники взломали госуслуги;Вместо консультации на оператора;;;;;;
Войти в карту/войти в счет;Нет доступа ( Local_No_Access);;;;;;
активировать номер;General_Подтверждение сим-карты ( General_Sim_Confirmation);подтверждение симкарты ( Local_Sim_Confirmation);;;;;
восстановить номер ;Смена номера телефона ( General_Change_phone);Привязать номер ( Local_Bind_Number);;;;;
не могу зайти в приложение пишет номер телефона не зарегистрирован;Смена номера телефона ( General_Change_phone);Привязать номер ( Local_Bind_Number);;;;;
 банк украл деньги;УВ_ Странные операции (UV_ Strange_operation);;;;;;
приложение пишет что я сменил номер семь/не могу сделать перевод пишет что из-за смена номера;General_Подтверждение сим-карты ( General_Sim_Confirmation);подтверждение симкарты ( Local_Sim_Confirmation);;;;;
банкомат взял купюры и положил ее на карту;Выписка ( General_BankStatement);Движение денежных средств ( Local_Transactions);;;;;
Через банкомат пополнял стороннюю карту;Без вопроса ( General_Whithout_Question);;;;;;
Не пришли деньги по СБП;Проблема с переводом ( Local_Cant_Transfer);;;;;;
у меня нет  карты;Без вопроса ( General_Whithout_Question);;;;;;
можно ли с кредитной карты оплатить обучение в университете /садик;Вместо консультации на оператора;;;;;;
можно связаться с верой;Оператор (Operator);General Оператор ( General_Operator);;;;;
на горячую линию домклик;General Оформление Ипотеки ( General_Reg_Mortage);;;;;;
заблокирован перевод/Перевела деньги заблокировали/ разблокировать перевод;Проблема с переводом ( Local_Cant_Transfer);;;;;;
персональный менеджер;Оператор (Operator);General Оператор ( General_Operator);;;;;
войти в программу долями;General_Podeli ( General_Подели) ;;;;;;
почему поставили ограничения на переводы;Проблема с переводом ( Local_Cant_Transfer);;;;;;
апельсиновая карта;General_Банк X5 ( General_X5);;;;;;
вопрос по изготовлению карты;УВ Получение карты (UV_TakeCard);;;;;;
Потерял симку/номер;General Разблокировать карту ( General_UnBlock);;;;;;
подключить карту;УВ Карта (UV_Card);Карта ( Local_Card);;;;;
справки и выписки;Выписка ( General_BankStatement);Движение денежных средств ( Local_Transactions);;;;;
"Нет доступа к карте/счету;Восстановить доступ к карте/счету  ";Вместо консультации на оператора;;;;;;
Восстановить доступ;Без вопроса ( General_Whithout_Question);;;;;;
Сделать вклад на накопительный счёт;General Накопительный счет ( General_Saving);;;;;;
договор;Без вопроса ( General_Whithout_Question);;;;;;
Поменять выбранные категории кэшбэка ;Вместо консультации на оператора;;;;;;
Ограничения на снятие наличных/денежных средств;УВ Снятие наличных (UV_CashWithdrawal);Снятие наличных ( Local_Cash_Withdrawal);;;;;
Номер не совпадает с карточкой;Вместо консультации на оператора;;;;;;
телефон горячей линии;General Приветствие ( General_Hello);;;;;;
реквизиты банка зарплатный проект;General Номер счета УКД ( General_REKVISIT_UKD);;;;;;
не могу зайти в приложение просит позвонить в банк;General Разблокировать приложение ( General_Unlock_App);Нет доступа ( Local_No_Access);;;;;
восстановить номер карты;Вместо консультации на оператора;;;;;;
заблокировать карту взломали мошенники;General Мошенничество_UNI ( General_Fraud_UNI);;;;;;
два раза оплачен штраф;Отменить платеж ( Local_Cancel_Payment);Вернуть деньги ( Local_Return_Money);;;;;
Партнеры;Терминалы партнеров ( Local_PartnerSalon_PaymentTerminal);Банкоматы партнеров ( Local_ATM_Partners);;;;;
возврат денежных средств по азс заправки;General Отмена платежа ( General_Cancel_Payment);;;;;;
сохранение прожиточного минимума;Вместо консультации на оператора;;;;;;
Позовите\ Позовите кожанного мешка\ Соедините с кожанным;Оператор (Operator);General Оператор ( General_Operator);;;;;
пополнение кредитной карты;Способы погашения_пополнения ( General_Repay_credit);О способах пополнения ( Local_Repay_Credit);;;;;
у меня по терминалу не проходит оплата по qr коду ;General Платеж по QR ( General_Payment_QR);;;;;;
не проходит оплата по терминалу по карте;General Карта не работает ( General_Cardnotworking);;;;;;
снять наличные;УВ Снятие наличных (UV_CashWithdrawal);Снятие наличных ( Local_Cash_Withdrawal);;;;;
переведите на;Без вопроса ( General_Whithout_Question);;;;;;
Добрый день позовите оператора/алло оператора;General Приветствие ( General_Hello);;;;;;
заблокировать карту;Потерял карту ( Local_Lost_Card);;;;;;
дебетовую хотел отключить;Дебетовая карта ( Local_Debit_Card);;;;;;
Награждение деньги вам и друзьям;Акция ( Local_Action);;;;;;
мне не пришел кб;Проблема ( Local_Some_Problems);Кэшбэк ( Local_Cashback);;;;;
Вывести деньги;Без вопроса ( General_Whithout_Question);;;;;;
проверил деньги не пришли/срок зачисления/когда придут деньги;Не зачислил деньги на карту ( Local_Didnt_Money_On_Card);Не дошел (платеж) ( Local_Not_Received);Когда поступят деньги ( LocalGet_Money);Статус ( Local_Status);Да (Agree);;
все вместе и то и другое не зачислил и не вернул карту;УВ Проблемы с банкоматами (UV_ATM_Problems);Проблема с банкоматом ( Local_ATM_Problem);Банкоматы ( Local_ATM);;;;
войти в личный кабинет по временному паролю или другим данным;Временный пароль ( Local_Temp_Password);;;;;;
зайти по номеру карты;Получается (или дословно Можно войти) ( Local_Can_Enter);;;;;;
вопрос по оформлению кредита/получить кредит;General Заказ продуктов банка ( General_OrderCards);Оформить кредит ( Local_New_Credit);;;;;
Вопрос по моему кредиту/оформил кредит ;Имеющийся кредит ( Local_Current_Credit);Другой кредит ( Local_Other_Credit);Кредит наличными (Про платеж) ( Local_DIS_Credit);Кредит ( Local_Credit);;;
Кредит/кредит на карту;УВ Кредит (UV_Credit);Кредит ( Local_Credit);Другой кредит ( Local_Other_Credit);Кредит наличными (Про платеж) ( Local_DIS_Credit);;;
Лимит;УВ Лимит (UV_Limit);Лимиты ( Local_Limits);;;;;
Узнать про оформление;Новый продукт ( Local_Open);Оформить кредит ( Local_New_Credit);Оформить займ ( Local_New_MFO);;;;
Открыть счет и закрыть карту (когда 2 вопроса в одном);Без вопроса ( General_Whithout_Question);;;;;;
В приложении;General АМ Подключение ( General_AM_Connection);Приложение или Онлайн ( Local_AM_Online);Приложение ( Local_Application);;;;
Оформить карту;УВ Заказ новой карты (UV_OrderCard);Новый продукт ( Local_Open);;;;;
Перевыпустить карту;Действующая карта (CurrentCard);;;;;;
Деньги отправила на  банк а деньги не пришли;Статус ( Local_Status);Не дошел (платеж) ( Local_Not_Received);;;;;
Обе обе и кредитную и дебетовую карту хочу закрыть;по обеим, обе ( Local_Both);;;;;;
По кредитной карте вопрос о снятии наличности;УВ Снятие наличных (UV_CashWithdrawal);Снятие наличных ( Local_Cash_Withdrawal);;;;;
Да за что списали где где как бы узнать за что списали;Да (Agree);УВ_ Странные операции (UV_ Strange_operation);;;;;
Отказаться\ вопрос по закрытию;Отказаться ( Local_Refuse);;;;;;
Про кредитную которую перевожу с кредитной на дебетовую взимается комиссия;Перевод ( Local_Remittance);Комиссия ( Local_Commission);;;;;
По задолженности по кредиту;Кредит наличными (Про платеж) ( Local_DIS_Credit);;;;;;
Я хочу с кредитной карты/дебетовой отказаться от страховки/ отказаться от страховки по карте;Комиссия ( Local_Commission);Кредитная карта (именно карта) ( Local_CreditCard_Karta);;;;;
Процент за снятие наличных с кредитной карты;General Проценты по КК ( General_Percent_Credit_Card);;;;;;
Невозможно перевести по номеру телефона;Проблема с переводом ( Local_Cant_Transfer);;;;;;
Тарифы;Условия ( Local_Conditions);;;;;;
Оплатить платеж по страховке;платеж ( Local_Payment);;;;;;
Не знаю;Без вопроса ( General_Whithout_Question);;;;;;
Войти в приложение / получить доступ к приложению / зарегистрироваться в приложении;Нет доступа ( Local_No_Access);;;;;;
Оплатить коммунальный платеж;General Коммунальный платеж ( General_CommunalPayment);платеж ( Local_Payment);;;;;
Другой платеж;Другой платеж ( Local_Other_Payment);платеж ( Local_Payment);;;;;
Другой кредит;УВ Кредит (UV_Credit);Другой кредит ( Local_Other_Credit);Кредит ( Local_Credit);Кредит наличными (Про платеж) ( Local_DIS_Credit);;;
Банк отправителя не одобрил;Проблема с переводом ( Local_Cant_Transfer);;;;;;
Перевести с кредитной карты;УВ Перевод (UV_Remittance);Перевод ( Local_Remittance);;;;;
По другим данным;Получается (или дословно Можно войти) ( Local_Can_Enter);;;;;;
Какой процент по займу;Условия ( Local_Conditions);;;;;;
Узнать срок возврата;Когда поступят деньги ( LocalGet_Money);;;;;;
Вернуть деньги;Вернуть деньги ( Local_Return_Money);;;;;;
Банкомат не зачислил деньги ;Не зачислил деньги на карту ( Local_Didnt_Money_On_Card);Банкоматы ( Local_ATM);;;;;
Отменить покупку;Отменить платеж ( Local_Cancel_Payment);;;;;;
Не могу войти в личный кабинет не приходит ли код доступа;Временный пароль ( Local_Temp_Password);;;;;;
Не получается зайти по номеру карты и по номеру телефона;Временный пароль ( Local_Temp_Password);;;;;;
Первое первое временный пароль;Первое ( Local_First);Временный пароль ( Local_Temp_Password);;;;;
С банкомата не могу снять по карте наличные;Не выдал деньги ( Local_DidntGive_Money);Банкоматы ( Local_ATM);;;;;
Пароль\нужен пароль\ войти по пароль;Временный пароль ( Local_Temp_Password);;;;;;
Переводила я с другого банка себе на  банк;Статус ( Local_Status);Мне (переводили) ( Local_To_Me);;;;;
Я случайно оплатила заказ два раза;Отменить платеж ( Local_Cancel_Payment);Вернуть деньги ( Local_Return_Money);;;;;
Сделали новую карту прошло два дня деньги так и не приходят на счет;Не зачислил деньги на карту ( Local_Didnt_Money_On_Card);Не дошел (платеж) ( Local_Not_Received);Когда поступят деньги ( LocalGet_Money);Проблема ( Local_Some_Problems);;;
Проблема;Проблема ( Local_Some_Problems);Проблема с банкоматом ( Local_ATM_Problem);Проблема с переводом ( Local_Cant_Transfer);;;;
График работы отделения;General График работы УКД ( GeneralGRAFIK_OFFICE_UKD);Отделение ( Local_Bank_Branch);;;;;
Набор цифр ( пять сорок восемьсот) \ + оператор;Цифры (Numbers);;;;;;
Сумма кратная 1000 (шестьсот тысяч);Более 500 тыс. ₽ ( Local_More_500);займы более 100 тыс ( Local_MoreNumbers );;;;;
Узнать сумму для закрытия кредита;Кредит наличными (Про платеж) ( Local_DIS_Credit);;;;;;
Я не спрашиваю о комиссии за снятие или переводы я говорю о комиссии которую с меня списали просто;УВ_ Странные операции (UV_ Strange_operation);;;;;;
Возникли проблемы с награждением нет кэшбэка;Проблема ( Local_Some_Problems);Кэшбэк ( Local_Cashback);;;;;
Сколько потраченных денег мне связаться с оператором;General Выписка ( General_BankStatement);Движение денежных средств ( Local_Transactions);;;;;
Мне пришли деньги не на тот счет;General Между Счетами УКД ( General_MEZHDU_SCHETAMI_UKD);;;;;;
Частичное погашение;Частично ( Local_Partly) ;;;;;;
Страховка по кредитной карте / страховка по кредиту;УВ Страхование (UV_Insurance);Страхование ( Local_Insurance);;;;;
Рассказать о действующий;Действующая карта (CurrentCard);Имеющийся кредит ( Local_Current_Credit);МФО ( Local_Current_MFO);;;;
Убрать;Отказаться ( Local_Refuse);;;;;;
Отменить;Отказаться ( Local_Refuse);Отменить перевод ( Local_Cancel_Transfer_Payment);Отменить платеж ( Local_Cancel_Payment);;;;
Лимит внесение наличных;Вместо консультации на оператора;;;;;;
узнать статус карты ;Статус ( Local_Status);General Готовность карт ( General_TAKE_CARD) ;Готовность карт (CardReadiness);;;;
Авторизовать номер телефона;General_Подтверждение сим-карты ( General_Sim_Confirmation);подтверждение симкарты ( Local_Sim_Confirmation);;;;;
вопрос по карте по карте пришло сообщение;УВ Карта (UV_Card);Карта ( Local_Card);;;;;
Оформила зп карту ;УВ Дебетовая карта (UV_Debitcard);Дебетовая карта ( Local_Debit_Card);Зарплатный (счет/ карта) ( Local_Salary);General_ИЗК ( General_IZK);;;
Кредитная  карта/  кредитная карта;УВ Кредитная карта (UV_CreditCard);Кредитная картаКредитка ( Local_Credit_Card);Кредитная карта (именно карта) ( Local_CreditCard_Karta);;;;
Не заходит в приложение говорит что поменялся номер телефона ;Смена номера телефона ( General_Change_phone);Привязать номер ( Local_Bind_Number);;;;;
 Онлайн;АМ Подключение ( General_AM_Connection);Приложение или Онлайн ( Local_AM_Online);Онлайн ( Local_AO);;;;
Клиент банк;АМ Подключение ( General_AM_Connection);Приложение или Онлайн ( Local_AM_Online);Приложение ( Local_Application);Онлайн ( Local_AO);;;
Заблокировали номер телефона;General_Подтверждение сим-карты ( General_Sim_Confirmation);подтверждение симкарты ( Local_Sim_Confirmation);;;;;
Не зачислил деньги;Не зачислил деньги на карту ( Local_Didnt_Money_On_Card);;;;;;
Набор цифр + тематика;Тематика ;;;;;;
Незаконно снимают комиссию;УВ_ Странные операции (UV_ Strange_operation);;;;;;
Счет кредитной карты;Кредитная картаКредитка ( Local_Credit_Card);Счет кредитной карты ( Local_CreditCard_Account);;;;;
Терминал;Терминалы партнеров ( Local_PartnerSalon_PaymentTerminal);;;;;;
Перевод / сделать перевод;УВ Перевод (UV_Remittance);Перевод ( Local_Remittance);;;;;
Я переводил;Я (переводил) ( Local_I_Did);Статус ( Local_Status);;;;;
Расторгнуть договор по договору  банка;Банк ( Local_bank);;;;;;
Мне перевели / я переводил себе на альфу;Мне (переводили) ( Local_To_Me);Статус ( Local_Status);;;;;
Переводил/ был перевод / сделал перевод / я переводил себе;Статус ( Local_Status);;;;;;
Хочу получить кредитную карту;УВ Кредитная карта (UV_CreditCard);Кредитная картаКредитка ( Local_Credit_Card);;;;;
Процент;Без вопроса ( General_Whithout_Question);;;;;;
Хочу узнать о процентной ставке;Условия ( Local_Conditions);;;;;;
Маты, обзывание, ругательство (кожаный, петух, блять) и да;Да (Agree);;;;;;
Положила деньги но их на карте нет;Не зачислил деньги на карту ( Local_Didnt_Money_On_Card);Не дошел (платеж) ( Local_Not_Received);Статус ( Local_Status);;;;
неправильная сумма/неверный процент;Не правильные начисления ( Local_Incorrect_Accrual);;;;;;
Не пришли проценты;Не дошел (платеж) ( Local_Not_Received);;;;;;
Мне звонили, пытаются оформить кредит (то есть попытка);General Мошенничество ( General_Fraud);Мошенничество ( Local_Fraud);;;;;
Меня обманули мошенники/ у меня мошеннические действия происходят;General Мошенничество ( General_Fraud);Мошенничество ( Local_Fraud);;;;;
получить секретный код;Настроить секретный код ( General_Setup_Secret_Code) ;;;;;;
корпоративная карта;General Юрики ( General_Entity);Юрлица ( Local_Business);;;;;
"как узнать зашел ли транш второй от банка/
получить транш";General Юрики ( General_Entity);Юрлица ( Local_Business);;;;;
Не работает терминал / не проходит оплата по терминалу / не проходит оплата по эквайрингу;General Юрики ( General_Entity);Юрлица ( Local_Business);;;;;
по задолженности/не гасится задолженность/ условия дату суммы платежа;General Платеж по кредиту ( General_DIS);Кредит ( Local_Credit);Платеж по кредитному продукту ( Local_DIS);;;;
