phrase,topics1,topics2,topics3,topics4,topics5,topics6,topics7
Мне перевели на заблокированный счет/карту,Вместо консультации на оператора,,,,,,🞄21.07.2025
перевела на заблокированный счет/карту,Отменить перевод (Local_Cancel_Transfer_Payment),УВ Проблемы с переводами (UV_RemittanceProblems),,,,,🞄21.07.2025
Электронная подпись,Вместо консультации на оператора,,,,,,🞄21.07.2025
Альфа тревел,General Без вопроса (General_Whithout_Question),,,,,,🞄21.07.2025
"Хочу связь с оператором уточнить информацию по поводу того что пополнила кредитную карту деньги получается |
Хотела бы узнать поступил ли у меня платеж на кредитную карту последние семьсот рублей",Кредитная картаКредитка (Local_Credit_Card),General Платеж по кредиту (General_DIS),,,,,🞄21.07.2025
Статус платежа,General Выписка (General_BankStatement),Движение денежных средств (Local_Transactions),,,,,🞄21.07.2025
Внесение платежа,УВ Платеж (UV_Payment),,,,,,🞄21.07.2025
Не  могу получить выписку ,General Выписка (General_BankStatement),Движение денежных средств (Local_Transactions),,,,,🞄21.07.2025
Не могу получить квитанцию ,General Квитанция (General_Cheque),,,,,,🞄21.07.2025
Не могу получить справку ,General Справка (General_Reference),Справка (Local_Reference),,,,,🞄21.07.2025
Не могу обновить данные паспорта ,General Замена паспорта (General_PassportChange),,,,,,🞄21.07.2025
Не могу активировать карту  ,General Активация (General_Activation),Активация (Local_Activate),,,,,🞄21.07.2025
Не могу заказать карту ,Вместо консультации на оператора,,,,,,🞄21.07.2025
Не могу поменять номер в банке ,General Смена номера телефона (General_Change_phone),Привязать номер (Local_Bind_Number),,,,,🞄21.07.2025
Актуализировать номер телефона,General Смена номера телефона (General_Change_phone),Привязать номер (Local_Bind_Number),,,,,🞄21.07.2025
Снятие с карты в банкомате стороннего банка,УВ Снятие наличных (UV_CashWithdrawal),Снятие наличных (Local_Cash_Withdrawal),,,,,🞄21.07.2025
Мне нужнА карта ,УВ Получение карты (UV_TakeCard),,,,,,🞄21.07.2025
Мне нужнО карту,УВ Карта (UV_Card),Карта (Local_Card),,,,,🞄21.07.2025
Не получиЛ карту | Не получилИ карту,General Готовность карт (General_TAKE_CARD),Готовность карт (CardReadiness),,,,,🞄21.07.2025
Проблема с получением карты |Не могу получить карту,Вместо консультации на оператора,,,,,,🞄21.07.2025
Как мне заказать карту через ссылку по пригласи друга,Условия (Local_Conditions),General Кэшбэк (General_CashBack),,,,,🞄21.07.2025
Делали заявку на карту,УВ Карта (UV_Card),Карта (Local_Card),,,,,🞄21.07.2025
Нужно кредит | Не нужен кредит | Не нужнО кредит | Мне не надо кредит | Хочу кредит | Нужен кредит,УВ Кредит (UV_Credit),Кредит (Local_Credit),Другой кредит (Local_Other_Credit),Кредит наличными (Про платеж) (Local_DIS_Credit),,,🞄21.07.2025
Сервис заправки | Заправки | Не прошла оплата на заправке,Вместо консультации на оператора,,,,,,🞄21.07.2025
Кэшбэк заправка,Кэшбэк (Local_Cashback),General Заправки (General_Refueling),,,,,🞄21.07.2025
Афиша | купить билет в кино | купить билет в театр,Вместо консультации на оператора,,,,,,🞄21.07.2025
Сервис Тревел | купить авиабилет |купить жд билет | оплатить отель,Вместо консультации на оператора,,,,,,🞄21.07.2025
Мне не могут перевести из другого банка / мне не могут перевести,Проблема с переводом (Local_Cant_Transfer),УВ Проблемы с переводами (UV_RemittanceProblems),,,,,🞄21.07.2025
Активация,Активация (Local_Activate),General Без вопроса (General_Whithout_Question),,,,,🞄21.07.2025
Вопросы по Форексу,Вместо консультации на оператора,,,,,,🞄21.07.2025
Вопросы по капиталу,Вместо консультации на оператора,,,,,,🞄21.07.2025
Покупка драгоценных металлов в слитках,Вместо консультации на оператора,,,,,,🞄21.07.2025
Хочу перевести на счету доверительного управления на свой текущий счет,Вместо консультации на оператора,,,,,,🞄21.07.2025
Хочу снять деньги с инвест копилки,General Инвестиции (General_Investing),,,,,,🞄21.07.2025
Почему не нужно оплатить ежемесячный платёж ,Вместо консультации на оператора,,,,,,🞄21.07.2025
Хочу заблокировать (без уточнения чего-либо),Потерял карту (Local_Lost_Card),General Блокировка (General_Block),,,,,🞄21.07.2025
Уменьшить лимит ,УВ Лимит (UV_Limit),Лимиты (Local_Limits),,,,,🞄21.07.2025
"Если клиент называет номер телефона и спрашивает, к нему ли привязана карта",General Запрос кодового слова (General_Codeword_request),,,,,,🞄21.07.2025
Ставка по кредиту,Условия (Local_Conditions),УВ Кредит (UV_Credit),,,,,🞄21.07.2025
Я хочу лимит повысить,УВ Лимит (UV_Limit),Лимиты (Local_Limits),,,,,🞄21.07.2025
Найти старый счет,Вместо консультации на оператора,,,,,,🞄21.07.2025
Наличие чипов детской карте,Вместо консультации на оператора,,,,,,🞄21.07.2025
По поводу кредитной карты снять собственные средства остатки,Вместо консультации на оператора,,,,,,🞄21.07.2025
Поменяли номер которого у меня нет,General Смена номера телефона (General_Change_phone),Привязать номер (Local_Bind_Number),,,,,🞄21.07.2025
Связаться с оператором узнать что за счет мне открыли,Вместо консультации на оператора,,,,,,🞄21.07.2025
Снятие наличных с белорусской карты мир,Вместо консультации на оператора,,,,,,🞄21.07.2025
Можно ли выбрать офис куда доставить карту,Вместо консультации на оператора,,,,,,🞄21.07.2025
Заказывала кредитную карту пришел отказ банка,Вместо консультации на оператора,,,,,,🞄21.07.2025
Мне нужно открыть личный кабинет но у меня нет карты у меня нет счета,Временный пароль (Local_Temp_Password),General АМ Подключение (General_AM_Connection),,,,,🞄21.07.2025
Не могу войти в приложение так как номер сменился заблокирован,General Смена номера телефона (General_Change_phone),Привязать номер (Local_Bind_Number),,,,,🞄21.07.2025
Подвердить платеж| по движению средств| по истории,General Выписка (General_BankStatement),Движение денежных средств (Local_Transactions),,,,,🞄21.07.2025
По списанию,УВ Странные операции (UV_Strange_Operation),,,,,,🞄21.07.2025
Оформил кредит деньги не поступили соедините со специалистом ,Когда поступят деньги (Local_Get_Money),УВ Кредит (UV_Credit),,,,,🞄21.07.2025
Не могу снять деньги с кк,Вместо консультации на оператора,,,,,,🞄21.07.2025
Не могу перевести с кк,Проблема с переводом (Local_Cant_Transfer),УВ Проблемы с переводами (UV_RemittanceProblems),,,,,🞄21.07.2025
Сколько карт можно иметь на одного человека,Вместо консультации на оператора,,,,,,🞄21.07.2025
Трудности с платежом кредита,General Способы погашения_пополнения (General_Repay_credit),О способах пополнения (Local_Repay_Credit),,,,,🞄21.07.2025
По списанию процентов (без уточнения продукта),УВ Странные операции (UV_Strange_Operation),,,,,,🞄21.07.2025
случайно перевела не в тот банк,Отменить перевод (Local_Cancel_Transfer_Payment),УВ Проблемы с переводами (UV_RemittanceProblems),,,,,🞄21.07.2025
получить одноразовый код доступа,Временный пароль (Local_Temp_Password),General АМ Подключение (General_AM_Connection),,,,,🞄21.07.2025
подобрать адрес доставки карты,General Курьерская доставка (General_Express_Delivery),Курьерская доставка (CourierDelivery),,,,,🞄21.07.2025
"Такие фразы как ""блин""",General Без вопроса (General_Whithout_Question),"если с матами,тогда на Невозможно",,,,,🞄21.07.2025
Ограничение по счетам/карте| приостановление по счетам/ карте,Вместо консультации на оператора,,,,,,🞄21.07.2025
Положить деньги,General Способы погашения_пополнения (General_Repay_credit),О способах пополнения (Local_Repay_Credit),,,,,🞄21.07.2025
"Хочет заказать карту и уточняет что ему нет 18 лет, но не говорит какую именно карту",УВ Заказ новой карты (UV_OrderCard),Новый продукт (Local_Open),,,,,🞄21.07.2025
Восстановить доступ к приложению|восстановить вход в приложение,General Разблокировать приложение (General_Unlock_App),Нет доступа (Local_No_Access),,,,,🞄21.07.2025
Восстановить приложение,скачать/обновить (Local_Download),General АМ Подключение (General_AM_Connection),,,,,🞄21.07.2025
Премиальный клиент я или нет,General Трансфер (General_Transfer),,,,,,🞄21.07.2025
"Не открывается ссылка, которую вы направили | не открывается ссылка (без всякого уточнения)",Вместо консультации / Без вопроса,,,,,,🞄21.07.2025
"Позвонить, дозвониться",General Приветствие (General_Hello),,,,,,🞄21.07.2025
Где деньги | где мои деньги,Не зачислил деньги на карту (Local_Didnt_Money_On_Card),Не дошел (платеж) (Local_Not_Received),Когда поступят деньги (Local_Get_Money),Статус (Local_Status),General Без вопроса (General_Whithout_Question),,🞄21.07.2025
Связаться по добавочному номеру| ввести добавочный номер| добавочный номер,Вместо консультации на оператора,,,,,,🞄21.07.2025
Не нужна мне комиссия мне нужны наличные деньги у меня Оформлен кредит в вашем банке пятьсот три|здравствуйте я вот Сегодня заказала кредит наличными мне одобрили мне нужно Снять наличные как это сделать,УВ Снятие наличных (UV_CashWithdrawal),Снятие наличных (Local_Cash_Withdrawal),,,,,🞄21.07.2025
Не зайти в приложение банка после обновления данных,General Разблокировать приложение (General_Unlock_App),Нет доступа (Local_No_Access),,,,,🞄21.07.2025
Начислили проценты почему,Вместо консультации на оператора,,,,,,🞄21.07.2025
Ускорить процесс получения кредита,Вместо консультации на оператора,,,,,,🞄21.07.2025
Альфа карта одноразовый код,General Без вопроса (General_Whithout_Question),,,,,,🞄21.07.2025
Лизинг,Вместо консультации на оператора,,,,,,🞄21.07.2025
Представитель,General Курьерская доставка (General_Express_Delivery),Курьерская доставка (CourierDelivery),,,,,🞄21.07.2025
Получить доступ в приложение|доступ к личному кабинету,Нет доступа (Local_No_Access),General АМ Подключение (General_AM_Connection),,,,,🞄21.07.2025
Мой вопрос по акции рекомендуется инвестиции,Акция (Local_Action),General Кэшбэк (General_CashBack),,,,,🞄21.07.2025
обслуживание,Условия (Local_Conditions),General Без вопроса (General_Whithout_Question),,,,,🞄21.07.2025
доступ в личный кабинет ребенка,Нет доступа (Local_No_Access),General АМ Подключение (General_AM_Connection),,,,,🞄21.07.2025
заблокирован личный кабинет поэтому я хочу получить ответ на свое обращение,General Разблокировать приложение (General_Unlock_App),Нет доступа (Local_No_Access),,,,,🞄21.07.2025
доступ к карте/счету,УВ Карта/УВ Счет,Карта (Local_Card),,,,,🞄21.07.2025
списывают деньги с другого счета|пытаетесь долги списали с другого счета,УВ Странные операции (UV_Strange_Operation),,,,,,🞄21.07.2025
Cменить контактный номер на карте ребенка,Вместо консультации на оператора,,,,,,🞄21.07.2025
как оплатить а деньги (и подобные),General Способы погашения_пополнения (General_Repay_credit),О способах пополнения (Local_Repay_Credit),,,,,🞄21.07.2025
отменить комиссию|вернуть комиссию,Комиссия (Local_Commission),УВ Заявление (UV_Statement),,,,,🞄21.07.2025
кредитование,General Без вопроса (General_Whithout_Question),,,,,,🞄21.07.2025
Перезвоните мне|заказать обратный звонок|пусть он мне перезвонит,General Без вопроса (General_Whithout_Question),,,,,,🞄21.07.2025
Меня просили перезвонить,Вместо консультации на оператора,,,,,,🞄21.07.2025
Кредитная и дебетовая карта,"по обеим, обе (Local_Both)",УВ Карта (UV_Card),,,,,🞄21.07.2025
Мошенники взломали госуслуги,Вместо консультации на оператора,,,,,,🞄21.07.2025
Войти в карту|войти в счет,Нет доступа (Local_No_Access),General АМ Подключение (General_AM_Connection),,,,,🞄21.07.2025
активировать номер,General Подтверждение сим-карты (General_Sim_Confirmation),подтверждение симкарты (Local_Sim_Confirmation),,,,,🞄21.07.2025
восстановить номер ,General Смена номера телефона (General_Change_phone),Привязать номер (Local_Bind_Number),,,,,🞄21.07.2025
не могу зайти в приложение пишет номер телефона не зарегистрирован,General Смена номера телефона (General_Change_phone),Привязать номер (Local_Bind_Number),,,,,🞄21.07.2025
Альфа банк украл деньги,УВ Странные операции (UV_Strange_Operation),,,,,,🞄21.07.2025
приложение пишет что я сменил номер семь|не могу сделать перевод пишет что из-за смена номера,General Подтверждение сим-карты (General_Sim_Confirmation),подтверждение симкарты (Local_Sim_Confirmation),,,,,🞄21.07.2025
банкомат взял купюры и положил ее на карту,General Выписка (General_BankStatement),Движение денежных средств (Local_Transactions),,,,,🞄21.07.2025
Через банкомат пополнял стороннюю карту,General Без вопроса (General_Whithout_Question),,,,,,🞄21.07.2025
Не пришли деньги по СБП,Проблема с переводом (Local_Cant_Transfer),УВ Проблемы с переводами (UV_RemittanceProblems),,,,,🞄21.07.2025
у меня нет альфа карты,General Без вопроса (General_Whithout_Question),,,,,,🞄21.07.2025
можно ли с кредитной карты оплатить обучение в университете /садик,Вместо консультации на оператора,,,,,,🞄21.07.2025
можно связаться с верой,Оператор (Operator),General Оператор (General_Operator),,,,,🞄21.07.2025
на горячую линию домклик,General Оформление Ипотеки (General_Reg_Mortage),,,,,,🞄21.07.2025
заблокирован перевод|Перевела деньги заблокировали|разблокировать перевод,Проблема с переводом (Local_Cant_Transfer),УВ Проблемы с переводами (UV_RemittanceProblems),,,,,🞄21.07.2025
персональный менеджер,Оператор (Operator),General Оператор (General_Operator),,,,,🞄21.07.2025
войти в программу долями,General Подели (General_Podeli) ,,,,,,🞄21.07.2025
почему поставили ограничения на переводы,Проблема с переводом (Local_Cant_Transfer),УВ Проблемы с переводами (UV_RemittanceProblems),,,,,🞄21.07.2025
апельсиновая карта,General Банк X5 (General_X5),,,,,,🞄21.07.2025
вопрос по изготовлению карты,УВ Получение карты (UV_TakeCard),,,,,,🞄21.07.2025
Потерял симку/номер,General Разблокировать карту (General_UnBlock),,,,,,🞄21.07.2025
подключить карту,УВ Карта (UV_Card),Карта (Local_Card),,,,,🞄21.07.2025
справки и выписки,General Выписка (General_BankStatement),Движение денежных средств (Local_Transactions),,,,,🞄21.07.2025
Нет доступа к карте/счету|Восстановить доступ к карте/счету  ,Вместо консультации на оператора,,,,,,🞄21.07.2025
Восстановить доступ,General Без вопроса (General_Whithout_Question),,,,,,🞄21.07.2025
Сделать вклад на накопительный счёт,General Накопительный счет (General_Saving),,,,,,🞄21.07.2025
договор,General Без вопроса (General_Whithout_Question),,,,,,🞄21.07.2025
Поменять выбранные категории кэшбэка ,Вместо консультации на оператора,,,,,,🞄21.07.2025
Ограничения на снятие наличных/денежных средств,УВ Снятие наличных (UV_CashWithdrawal),Снятие наличных (Local_Cash_Withdrawal),,,,,🞄21.07.2025
Номер не совпадает с карточкой,Вместо консультации на оператора,,,,,,🞄21.07.2025
телефон горячей линии,General Приветствие (General_Hello),,,,,,🞄21.07.2025
реквизиты банка зарплатный проект,General Номер счета УКД (General_REKVISIT_UKD),,,,,,🞄21.07.2025
не могу зайти в приложение просит позвонить в банк,General Разблокировать приложение (General_Unlock_App),Нет доступа (Local_No_Access),,,,,🞄21.07.2025
восстановить номер карты,Вместо консультации на оператора,,,,,,🞄21.07.2025
заблокировать карту взломали мошенники,General Мошенничество_UNI (General_Fraud_UNI),,,,,,🞄21.07.2025
два раза оплачен штраф,Отменить платеж (Local_Cancel_Payment),Вернуть деньги (Local_Return_Money),General Отмена платежа (General_Cancel_Payment),,,,🞄21.07.2025
Партнеры,Терминалы партнеров (Local_PartnerSalon_PaymentTerminal),Банкоматы партнеров (Local_ATM_Partners),General Без вопроса (General_Whithout_Question),,,,🞄21.07.2025
возврат денежных средств по азс заправки,General Отмена платежа (General_Cancel_Payment),,,,,,🞄21.07.2025
сохранение прожиточного минимума,Вместо консультации на оператора,,,,,,🞄21.07.2025
Позовите|Позовите кожанного мешка| Соедините с кожанным,Оператор (Operator),General Оператор (General_Operator),,,,,🞄21.07.2025
пополнение кредитной карты,General Способы погашения_пополнения (General_Repay_credit),О способах пополнения (Local_Repay_Credit),,,,,🞄21.07.2025
у меня по терминалу не проходит оплата по qr коду ,General Платеж по QR (General_Payment_QR),,,,,,🞄21.07.2025
не проходит оплата по терминалу по карте,General Карта не работает (General_Cardnotworking),,,,,,🞄21.07.2025
снять наличные,УВ Снятие наличных (UV_CashWithdrawal),Снятие наличных (Local_Cash_Withdrawal),,,,,🞄21.07.2025
переведите на,General Без вопроса (General_Whithout_Question),,,,,,🞄21.07.2025
Добрый день позовите оператора|алло оператора,General Приветствие (General_Hello),,,,,,🞄21.07.2025
заблокировать карту,Потерял карту (Local_Lost_Card),General Блокировка (General_Block),,,,,🞄21.07.2025
дебетовую хотел отключить,Дебетовая карта (Local_Debit_Card),General Закрытие карт УКД (General_CARD_ZAKRYTIE_UKD),,,,,🞄21.07.2025
Награждение деньги вам и друзьям,Акция (Local_Action),General Кэшбэк (General_CashBack),,,,,🞄21.07.2025
мне не пришел кб,Проблема (Local_Some_Problems),Кэшбэк (Local_Cashback),General Кэшбэк (General_CashBack),,,,🞄21.07.2025
Вывести деньги,General Без вопроса (General_Whithout_Question),,,,,,🞄21.07.2025
проверил деньги не пришли|срок зачисления денег|когда придут деньги,Не зачислил деньги на карту (Local_Didnt_Money_On_Card),Не дошел (платеж) (Local_Not_Received),Когда поступят деньги (Local_Get_Money),Статус (Local_Status),Да (Agree),General Без вопроса (General_Whithout_Question),🞄21.07.2025
все вместе и то и другое не зачислил и не вернул карту,УВ Проблемы с банкоматами (UV_ATM_Problems),Проблема с банкоматом (Local_ATM_Problem),Банкоматы (Local_ATM),,,,🞄21.07.2025
войти в личный кабинет по временному паролю или другим данным,Временный пароль (Local_Temp_Password),General АМ Подключение (General_AM_Connection),,,,,🞄21.07.2025
зайти по номеру карты,Получается (или дословно Можно войти) (Local_Can_Enter),General АМ Подключение (General_AM_Connection),,,,,🞄21.07.2025
вопрос по оформлению кредита|получить кредит,General Заказ продуктов банка (General_OrderCards),Оформить кредит (Local_New_Credit),,,,,🞄21.07.2025
Вопрос по моему кредиту|оформил кредит ,Имеющийся кредит (Local_Current_Credit),Другой кредит (Local_Other_Credit),Кредит наличными (Про платеж) (Local_DIS_Credit),Кредит (Local_Credit),УВ Кредит (UV_Credit),,🞄21.07.2025
Кредит|кредит на карту,УВ Кредит (UV_Credit),Кредит (Local_Credit),Другой кредит (Local_Other_Credit),Кредит наличными (Про платеж) (Local_DIS_Credit),,,🞄21.07.2025
Лимит,УВ Лимит (UV_Limit),Лимиты (Local_Limits),,,,,🞄21.07.2025
Узнать про оформление,Новый продукт (Local_Open),Оформить кредит (Local_New_Credit),Оформить займ (Local_New_MFO),General Без вопроса (General_Whithout_Question),,,🞄21.07.2025
Открыть счет и закрыть карту (когда 2 вопроса в одном),General Без вопроса (General_Whithout_Question),,,,,,🞄21.07.2025
в АВС выбираем локал Local_Activate с переводом Активация,,,,,,,🞄21.07.2025
В приложении,General АМ Подключение (General_AM_Connection),Приложение или Альфа-Онлайн (Local_AM_Online),Приложение (Local_Application),,,,🞄21.07.2025
Оформить карту,УВ Заказ новой карты (UV_OrderCard),Новый продукт (Local_Open),,,,,🞄21.07.2025
Перевыпустить карту,Действующая карта (CurrentCard),General Готовность карт (General_TAKE_CARD),,,,,🞄21.07.2025
Деньги отправила на альфа банк а деньги не пришли,Статус (Local_Status),Не дошел (платеж) (Local_Not_Received),УВ Проблемы с переводами (UV_RemittanceProblems),,,,🞄21.07.2025
Обе обе и кредитную и дебетовую карту хочу закрыть,"по обеим, обе (Local_Both)",General Закрытие карт УКД (General_CARD_ZAKRYTIE_UKD),,,,,🞄21.07.2025
По кредитной карте вопрос о снятии наличности,УВ Снятие наличных (UV_CashWithdrawal),Снятие наличных (Local_Cash_Withdrawal),,,,,🞄21.07.2025
Да за что списали где где как бы узнать за что списали,Да (Agree),УВ Странные операции (UV_Strange_Operation),,,,,🞄21.07.2025
Отказаться|вопрос по закрытию,Отказаться (Local_Refuse),General Без вопроса (General_Whithout_Question),,,,,🞄21.07.2025
Про кредитную которую перевожу с кредитной на дебетовую взимается комиссия,Перевод (Local_Remittance),Комиссия (Local_Commission),General Комиссия (General_Commission),,,,🞄21.07.2025
По задолженности по кредиту,Кредит наличными (Про платеж) (Local_DIS_Credit),General Платеж по кредиту (General_DIS),,,,,🞄21.07.2025
Я хочу с кредитной /дебетовой карты отказаться от страховки| отказаться от страховки по карте,Комиссия (Local_Commission),Кредитная карта (именно карта) (Local_CreditCard_Karta),УВ Заявление (UV_Statement),,,,🞄21.07.2025
Процент за снятие наличных с кредитной карты,General Проценты по КК (General_Percent_Credit_Card),,,,,,🞄21.07.2025
Невозможно перевести по номеру телефона,Проблема с переводом (Local_Cant_Transfer),УВ Проблемы с переводами (UV_RemittanceProblems),,,,,🞄21.07.2025
Ну тарифы,Условия (Local_Conditions),General Без вопроса (General_Whithout_Question),,,,,🞄21.07.2025
Оплатить платеж по страховке,платеж (Local_Payment),УВ Платеж (UV_Payment),,,,,🞄21.07.2025
Не знаю,General Без вопроса (General_Whithout_Question),,,,,,🞄21.07.2025
Войти в приложение |получить доступ к приложению| зарегистрироваться в приложении,Нет доступа (Local_No_Access),General АМ Подключение (General_AM_Connection),,,,,🞄21.07.2025
Оплатить коммунальный платеж,General Коммунальный платеж (General_CommunalPayment),платеж (Local_Payment),,,,,🞄21.07.2025
Другой платеж,Другой платеж (Local_Other_Payment),платеж (Local_Payment),УВ Платеж (UV_Payment),,,,🞄21.07.2025
Что-то безвопросное + оператор,General Оператор (General_Operator),Оператор (Operator),,,,,🞄21.07.2025
Другой кредит,УВ Кредит (UV_Credit),Другой кредит (Local_Other_Credit),Кредит (Local_Credit),Кредит наличными (Про платеж) (Local_DIS_Credit),,,🞄21.07.2025
Банк отправителя не одобрил,Проблема с переводом (Local_Cant_Transfer),УВ Проблемы с переводами (UV_RemittanceProblems),,,,,🞄21.07.2025
Перевести с кредитной карты,УВ Перевод (UV_Remittance),Перевод (Local_Remittance),,,,,🞄21.07.2025
По другим данным,Получается (или дословно Можно войти) (Local_Can_Enter),General Без вопроса (General_Whithout_Question),,,,,🞄21.07.2025
Какой процент по займу,Условия (Local_Conditions),General МФО (General_MFO),,,,,🞄21.07.2025
Узнать срок возврата,Когда поступят деньги (Local_Get_Money),General Отмена платежа (General_Cancel_Payment),,,,,🞄21.07.2025
Вернуть деньги,Вернуть деньги (Local_Return_Money),General Отмена платежа (General_Cancel_Payment),,,,,🞄21.07.2025
